timestamp,open,high,low,close,volume,start_at
1640995200000,50000.00,50200.00,49800.00,50100.00,1000000.00,2022-01-01 00:00:00
1640998800000,50100.00,50300.00,50000.00,50200.00,1100000.00,2022-01-01 01:00:00
1641002400000,50200.00,50500.00,50100.00,50400.00,1200000.00,2022-01-01 02:00:00
1641006000000,50400.00,50600.00,50300.00,50500.00,1150000.00,2022-01-01 03:00:00
1641009600000,50500.00,50700.00,50400.00,50600.00,1300000.00,2022-01-01 04:00:00
1641013200000,50600.00,50800.00,50500.00,50700.00,1250000.00,2022-01-01 05:00:00
1641016800000,50700.00,50900.00,50600.00,50800.00,1400000.00,2022-01-01 06:00:00
1641020400000,50800.00,51000.00,50700.00,50900.00,1350000.00,2022-01-01 07:00:00
1641024000000,50900.00,51100.00,50800.00,51000.00,1500000.00,2022-01-01 08:00:00
1641027600000,51000.00,51200.00,50900.00,51100.00,1450000.00,2022-01-01 09:00:00
